Date,Month,Region,Route_Type,Business_Unit,Revenue,Cost,Gross_Margin,Passenger_Count,Load_Factor,Billing_Errors,Report_Run_Time_Minutes,Manual_Hours_Saved
2024-01-01,Jan-2024,North America,Domestic,Passenger,1850000,1200000,650000,42000,0.82,120,180,60
2024-02-01,Feb-2024,North America,Domestic,Passenger,1920000,1250000,670000,43500,0.84,110,170,65
2024-03-01,Mar-2024,Europe,International,Cargo,2100000,1400000,700000,38000,0.79,95,160,70
2024-04-01,Apr-2024,Asia,International,Passenger,2500000,1650000,850000,52000,0.88,85,150,75
2024-05-01,May-2024,North America,Domestic,Cargo,1750000,1100000,650000,30000,0.76,130,200,55
2024-06-01,Jun-2024,Europe,International,Passenger,2600000,1700000,900000,54000,0.89,80,140,80
2024-07-01,Jul-2024,Asia,International,Passenger,2800000,1800000,1000000,58000,0.91,75,130,85
2024-08-01,Aug-2024,North America,Domestic,Passenger,2700000,1750000,950000,56000,0.90,70,125,90
2024-09-01,Sep-2024,Europe,International,Cargo,2300000,1500000,800000,40000,0.83,95,160,75
2024-10-01,Oct-2024,Asia,International,Passenger,2550000,1650000,900000,51000,0.87,85,150,80
2024-11-01,Nov-2024,North America,Domestic,Passenger,2200000,1450000,750000,47000,0.85,100,170,70
2024-12-01,Dec-2024,Europe,International,Passenger,3000000,1900000,1100000,60000,0.92,65,120,95
2025-01-01,Jan-2025,North America,Domestic,Passenger,2000000,1300000,700000,45000,0.83,110,175,65
2025-02-01,Feb-2025,Europe,International,Cargo,2200000,1450000,750000,39000,0.80,105,165,70
2025-03-01,Mar-2025,Asia,International,Passenger,2700000,1750000,950000,55000,0.89,80,140,85
2025-04-01,Apr-2025,North America,Domestic,Cargo,1900000,1200000,700000,32000,0.78,120,190,60
2025-05-01,May-2025,Europe,International,Passenger,2750000,1800000,950000,56000,0.90,75,135,90
2025-06-01,Jun-2025,Asia,International,Passenger,2950000,1900000,1050000,60000,0.92,70,120,95
