Date,Year,Month,Region,Route_Type,Business_Unit,Revenue,Cost,Passenger_Count,Load_Factor,Billing_Errors,Report_Run_Time_Minutes,Manual_Hours_Saved,Automation_Phase
2016-01-01,2016,1,North America,Domestic,Passenger,2094772,1501689,56842,0.77,159,270,11,Before
2016-01-02,2016,1,Asia,International,Passenger,1883824,1276310,47374,0.81,147,299,12,Before
2016-01-03,2016,1,Asia,Domestic,Passenger,1914390,1349557,46287,0.84,187,291,21,Before
2016-01-04,2016,1,North America,Domestic,Passenger,1769801,1167639,51878,0.94,187,274,24,Before
2016-01-05,2016,1,Asia,International,Passenger,2226045,1504816,51865,0.83,211,265,24,Before
2016-01-06,2016,1,Europe,International,Cargo,2043727,1611031,54408,0.77,179,248,10,Before
2016-01-07,2016,1,Asia,Domestic,Cargo,1730664,1265815,45597,0.78,211,297,22,Before
2016-01-08,2016,1,Asia,Domestic,Passenger,1958566,1307108,46882,0.92,169,301,7,Before
2016-01-09,2016,1,Asia,Domestic,Cargo,2235943,1667194,45508,0.93,179,278,20,Before
2016-01-10,2016,1,Asia,Domestic,Passenger,2299086,1664697,51690,0.85,192,278,18,Before
2016-01-11,2016,1,Asia,Domestic,Cargo,1716249,1246486,55212,0.93,189,250,17,Before
2016-01-12,2016,1,North America,International,Passenger,1957567,1319758,47865,0.94,210,303,15,Before
2016-01-13,2016,1,Europe,International,Passenger,1845191,1297989,48201,0.93,216,253,10,Before
2016-01-14,2016,1,North America,Domestic,Passenger,2001022,1425951,48827,0.79,193,263,24,Before
2016-01-15,2016,1,Asia,International,Cargo,2377237,1674869,50872,0.94,161,279,19,Before
2016-01-16,2016,1,North America,Domestic,Passenger,1987124,1301481,51724,0.82,228,301,21,Before
2016-01-17,2016,1,Europe,International,Cargo,2153459,1645765,44251,0.8,183,307,16,Before
2016-01-18,2016,1,Europe,International,Cargo,1823871,1414038,50384,0.81,234,297,24,Before
2016-01-19,2016,1,Europe,Domestic,Passenger,2129817,1440086,43885,0.89,212,276,23,Before
2016-01-20,2016,1,Asia,International,Passenger,1928650,1444554,52780,0.91,227,330,5,Before
2016-01-21,2016,1,North America,International,Cargo,1711991,1202470,55953,0.9,212,304,6,Before
2016-01-22,2016,1,North America,International,Cargo,2045257,1332238,54237,0.77,203,255,15,Before
2016-01-23,2016,1,North America,Domestic,Cargo,1805063,1261395,53935,0.9,219,288,7,Before
2016-01-24,2016,1,North America,International,Cargo,2454669,1687754,50734,0.87,199,288,21,Before
2016-01-25,2016,1,Asia,Domestic,Cargo,2260069,1695817,43282,0.92,199,248,12,Before
2016-01-26,2016,1,Asia,International,Passenger,1643349,1285960,48784,0.9,197,286,8,Before
2016-01-27,2016,1,North America,Domestic,Passenger,1810096,1249457,47015,0.85,173,247,18,Before
2016-01-28,2016,1,Europe,International,Cargo,2011641,1572310,44285,0.9,221,301,7,Before
2016-01-29,2016,1,Asia,Domestic,Cargo,2103007,1640473,52568,0.93,210,357,20,Before
2016-01-30,2016,1,North America,International,Cargo,1888811,1478924,49361,0.76,168,320,17,Before
2016-01-31,2016,1,North America,International,Passenger,1917447,1257510,52978,0.81,160,288,23,Before
2016-02-01,2016,2,North America,International,Cargo,1990471,1545209,52593,0.79,233,265,12,Before
2016-02-02,2016,2,North America,International,Cargo,1738417,1323989,40047,0.8,235,266,12,Before
2016-02-03,2016,2,Europe,International,Passenger,1690234,1122452,48284,0.79,203,291,5,Before
2016-02-04,2016,2,Asia,Domestic,Cargo,1763285,1177917,51144,0.82,213,291,11,Before
2016-02-05,2016,2,North America,International,Cargo,1915990,1518176,50696,0.93,200,295,8,Before
2016-02-06,2016,2,North America,International,Cargo,2039811,1333988,46998,0.87,202,293,9,Before
2016-02-07,2016,2,Asia,International,Passenger,2426606,1919978,40239,0.83,205,267,22,Before
2016-02-08,2016,2,Europe,International,Passenger,1882127,1256742,54248,0.89,217,286,21,Before
2016-02-09,2016,2,North America,Domestic,Passenger,1834200,1398746,47199,0.91,199,282,8,Before
2016-02-10,2016,2,North America,Domestic,Cargo,2109419,1642735,48989,0.84,216,296,22,Before
2016-02-11,2016,2,Europe,Domestic,Passenger,2261095,1578261,50105,0.93,206,277,13,Before
2016-02-12,2016,2,Asia,International,Passenger,2224708,1517048,60716,0.94,193,284,24,Before
2016-02-13,2016,2,Europe,Domestic,Cargo,1581996,1238949,58852,0.82,212,307,14,Before
2016-02-14,2016,2,Asia,International,Passenger,1898911,1488337,43216,0.78,168,281,10,Before
2016-02-15,2016,2,North America,Domestic,Cargo,1856311,1422996,48932,0.86,217,276,12,Before
2016-02-16,2016,2,Europe,Domestic,Passenger,1996297,1314452,48556,0.77,206,263,11,Before
2016-02-17,2016,2,Asia,Domestic,Cargo,1978247,1370641,52008,0.92,204,280,5,Before
2016-02-18,2016,2,Asia,Domestic,Cargo,1859637,1486546,45164,0.89,228,265,9,Before
2016-02-19,2016,2,Europe,International,Cargo,1977813,1469554,54881,0.81,196,252,15,Before
2016-02-20,2016,2,North America,Domestic,Cargo,1617458,1248789,51812,0.89,214,309,22,Before
2016-02-21,2016,2,Europe,International,Cargo,1985277,1531805,48588,0.95,205,258,6,Before
2016-02-22,2016,2,North America,Domestic,Cargo,2068491,1577196,59557,0.93,231,292,21,Before
2016-02-23,2016,2,Europe,Domestic,Passenger,1852076,1273702,46753,0.8,206,274,14,Before
2016-02-24,2016,2,Europe,International,Passenger,2066462,1504479,46257,0.9,223,281,12,Before
2016-02-25,2016,2,North America,International,Cargo,2082742,1503754,56710,0.83,211,304,16,Before
